fecha,dato
2022-05-01,20.4075
2022-06-01,19.7388
2022-07-01,20.3817
2022-08-01,20.2633
2022-09-01,20.2473
2022-10-01,20.0008
2022-11-01,19.7463
2022-12-01,19.1433
2023-01-01,19.4883
2023-02-01,18.739
2023-03-01,18.17
2023-04-01,18.107
2023-05-01,18.0325
2023-06-01,17.5673
2023-07-01,17.0517
2023-08-01,16.8533
2023-09-01,17.1113
2023-10-01,17.592
2023-11-01,17.9305
2023-12-01,17.2143
2024-01-01,17.0297
2024-02-01,17.1335
2024-03-01,17.0217
