fecha,dato
2023-06-01,11.4966
2023-07-01,11.498
2023-08-01,11.508
2023-09-01,11.507
2023-10-01,11.5028
2023-11-01,11.5035
2023-12-01,11.5033
2024-01-01,11.5025
2024-02-01,11.5012
2024-03-01,11.4937
